dim,fs,window,rmse,mape,smape,mae,nrmse,rules
2,10,0,0.322,31.11,13.173,0.254,0.077,519
2,10,1679,0.25,17.482,8.073,0.167,0.061,495
2,10,3358,0.251,40.017,14.195,0.188,0.089,498
2,10,5037,0.396,22.268,10.937,0.28,0.079,421
2,10,6716,0.368,125.558,20.168,0.282,0.101,455
2,10,8395,0.235,57.646,16.985,0.198,0.088,402
2,10,10074,0.344,43.742,14.054,0.259,0.079,485
2,10,11753,0.251,36.133,18.173,0.191,0.073,464
2,10,13432,0.392,220.654,25.286,0.31,0.09,378
2,10,15111,0.3,63.075,16.474,0.205,0.053,399
2,10,16790,0.277,54.194,15.045,0.203,0.04,366
2,10,18469,0.34,258.096,25.635,0.271,0.052,340
2,10,20148,0.069,126.516,9.32,0.055,0.028,371
2,10,21827,0.248,228.901,19.705,0.165,0.098,352
2,10,23506,0.226,172.197,20.361,0.169,0.064,429
2,10,25185,0.237,248.274,16.386,0.159,0.057,334
2,10,26864,0.81,66.882,21.444,0.471,0.068,409
2,10,28543,1.153,473.497,30.908,0.745,0.104,517
2,10,30222,0.681,48.651,15.398,0.367,0.078,395
2,10,31901,2.18,1925.887,52.713,1.722,0.195,576
2,10,33580,0.508,119.465,29.475,0.42,0.088,380
2,10,35259,0.423,60.549,19.387,0.315,0.061,281
2,10,36938,0.229,52.577,12.891,0.164,0.025,326
2,10,38617,0.42,239.85,17.301,0.225,0.146,455
2,10,40296,0.205,30.903,11.546,0.178,0.039,443
2,10,41975,0.269,54.297,18.419,0.206,0.065,413
2,10,43654,0.305,178.989,19.135,0.225,0.115,478
2,10,45333,0.342,71.626,15.433,0.252,0.106,469
2,10,47012,0.334,182.271,20.088,0.266,0.117,439
2,10,48691,0.358,68.911,18.745,0.279,0.102,549
2,20,0,0.266,24.059,10.151,0.183,0.063,1833
2,20,1679,0.19,10.631,4.844,0.106,0.046,1705
2,20,3358,0.198,21.165,8.117,0.117,0.07,1640
2,20,5037,0.262,13.607,6.761,0.157,0.052,1436
2,20,6716,0.317,43.25,14.712,0.223,0.087,1540
2,20,8395,0.186,34.458,12.218,0.125,0.07,1371
2,20,10074,0.196,17.139,9.678,0.112,0.045,1582
2,20,11753,0.142,14.069,5.891,0.083,0.041,1530
2,20,13432,0.262,59.405,15.173,0.182,0.06,1396
2,20,15111,0.194,23.734,10.155,0.114,0.034,1280
2,20,16790,0.187,26.868,8.513,0.101,0.027,1261
2,20,18469,0.211,135.855,14.886,0.134,0.032,1135
2,20,20148,0.045,10.509,3.905,0.022,0.018,1029
2,20,21827,0.196,82.591,12.576,0.106,0.077,1168
2,20,23506,0.159,96.161,11.996,0.089,0.045,1451
2,20,25185,0.144,103.941,12.211,0.096,0.035,1135
2,20,26864,0.62,51.478,13.891,0.32,0.052,1230
2,20,28543,0.837,359.822,22.284,0.437,0.075,1503
2,20,30222,0.511,25.604,10.015,0.225,0.058,1281
2,20,31901,1.73,1003.029,39.455,1.119,0.154,1992
2,20,33580,0.379,66.033,19.003,0.246,0.066,1189
2,20,35259,0.312,31.001,10.83,0.17,0.045,929
2,20,36938,0.158,10.338,5.042,0.082,0.017,1035
2,20,38617,0.123,17.118,6.891,0.072,0.043,1584
2,20,40296,0.195,21.445,9.537,0.139,0.037,1345
2,20,41975,0.208,40.206,14.109,0.147,0.05,1458
2,20,43654,0.227,24.523,10.207,0.137,0.086,1498
2,20,45333,0.239,32.344,10.09,0.147,0.074,1559
2,20,47012,0.307,56.611,15.566,0.214,0.107,1605
2,20,48691,0.3,39.29,14.366,0.221,0.085,1913
2,30,0,0.214,14.907,6.338,0.11,0.051,3311
2,30,1679,0.163,7.561,3.543,0.077,0.04,2988
2,30,3358,0.155,12.036,4.846,0.067,0.055,2944
2,30,5037,0.21,10.647,4.93,0.116,0.042,2687
2,30,6716,0.239,27.062,10.109,0.158,0.066,2792
2,30,8395,0.189,28.098,10.097,0.114,0.071,2426
2,30,10074,0.104,7.148,3.401,0.051,0.024,2867
2,30,11753,0.112,8.631,3.805,0.056,0.033,2681
2,30,13432,0.23,25.98,9.527,0.126,0.053,2780
2,30,15111,0.131,14.722,6.68,0.082,0.023,2378
2,30,16790,0.19,17.484,6.371,0.083,0.027,2255
2,30,18469,0.152,72.742,10.015,0.084,0.023,2030
2,30,20148,0.038,4.913,1.951,0.01,0.015,1793
2,30,21827,0.133,23.075,7.162,0.056,0.052,2023
2,30,23506,0.101,43.716,6.604,0.042,0.028,2622
2,30,25185,0.097,24.792,8.043,0.058,0.023,1971
2,30,26864,0.807,47.478,10.59,0.243,0.068,2093
2,30,28543,0.803,571.157,18.092,0.371,0.072,2502
2,30,30222,0.471,22.599,7.637,0.171,0.054,2166
2,30,31901,1.245,271.91,27.28,0.686,0.111,3234
2,30,33580,0.369,48.65,15.072,0.204,0.064,2022
2,30,35259,0.279,26.445,8.396,0.122,0.04,1708
2,30,36938,0.099,5.736,2.601,0.052,0.011,1880
2,30,38617,0.094,9.653,4.132,0.045,0.033,2801
2,30,40296,0.118,12.724,5.454,0.075,0.022,2456
2,30,41975,0.186,26.865,10.274,0.108,0.045,2728
2,30,43654,0.316,27.42,10.345,0.152,0.119,2548
2,30,45333,0.164,16.355,5.616,0.077,0.051,2806
2,30,47012,0.299,38.398,12.647,0.18,0.105,2947
2,30,48691,0.27,27.979,10.466,0.158,0.077,3503
2,40,0,0.163,10.772,4.584,0.075,0.039,4572
2,40,1679,0.122,4.883,2.22,0.046,0.03,4155
2,40,3358,0.11,7.922,3.147,0.041,0.039,4115
2,40,5037,0.156,7.227,3.446,0.077,0.031,3842
2,40,6716,0.199,19.203,7.653,0.117,0.055,3962
2,40,8395,0.179,24.158,8.535,0.099,0.067,3631
2,40,10074,0.102,4.32,2.154,0.033,0.024,3957
2,40,11753,0.106,6.42,2.659,0.04,0.031,3674
2,40,13432,0.178,16.884,6.553,0.087,0.041,3993
2,40,15111,0.091,10.267,4.406,0.056,0.016,3290
2,40,16790,0.157,12.76,4.792,0.06,0.022,3209
2,40,18469,0.119,24.999,6.041,0.05,0.018,2774
2,40,20148,0.031,3.485,1.351,0.007,0.012,2561
2,40,21827,0.125,12.263,4.813,0.044,0.049,2883
2,40,23506,0.058,30.268,4.418,0.022,0.016,3634
2,40,25185,0.085,12.755,5.073,0.04,0.02,2923
2,40,26864,0.477,27.827,7.472,0.164,0.04,2784
2,40,28543,0.575,475.64,12.019,0.212,0.052,3318
2,40,30222,0.266,14.419,6.126,0.103,0.03,2938
2,40,31901,0.843,132.571,19.036,0.425,0.075,4231
2,40,33580,0.225,28.337,9.963,0.119,0.039,2773
2,40,35259,0.162,15.609,5.87,0.072,0.023,2390
2,40,36938,0.072,3.553,1.647,0.04,0.008,2705
2,40,38617,0.068,6.081,2.615,0.027,0.024,3834
2,40,40296,0.115,8.407,3.793,0.058,0.022,3334
2,40,41975,0.142,17.432,6.925,0.071,0.034,3819
2,40,43654,0.221,20.26,7.94,0.112,0.084,3550
2,40,45333,0.131,12.804,4.385,0.052,0.041,3888
2,40,47012,0.28,28.475,9.42,0.14,0.098,4193
2,40,48691,0.236,18.644,7.418,0.114,0.067,4896
2,50,0,0.183,9.731,3.974,0.071,0.044,5668
2,50,1679,0.094,3.55,1.511,0.03,0.023,5221
2,50,3358,0.077,4.403,1.688,0.022,0.027,5224
2,50,5037,0.136,5.011,2.345,0.054,0.027,4855
2,50,6716,0.183,14.167,5.764,0.093,0.05,4923
2,50,8395,0.189,20.793,7.458,0.09,0.071,4568
2,50,10074,0.052,2.748,1.252,0.017,0.012,4887
2,50,11753,0.11,6.454,2.603,0.04,0.032,4516
2,50,13432,0.132,9.542,3.893,0.053,0.03,5086
2,50,15111,0.098,9.135,3.713,0.05,0.017,4200
2,50,16790,0.124,8.667,3.46,0.042,0.018,3983
2,50,18469,0.09,18.125,4.349,0.032,0.014,3540
2,50,20148,0.039,3.217,1.105,0.006,0.016,3441
2,50,21827,0.094,9.924,3.996,0.034,0.037,3626
2,50,23506,0.078,27.748,3.496,0.02,0.022,4572
2,50,25185,0.075,9.962,4.466,0.033,0.018,3677
2,50,26864,0.344,20.15,6.047,0.123,0.029,3442
2,50,28543,0.383,153.087,7.252,0.123,0.034,4110
2,50,30222,0.329,9.659,3.396,0.072,0.038,3554
2,50,31901,0.709,67.336,12.208,0.247,0.063,4859
2,50,33580,0.261,23.681,7.835,0.096,0.045,3449
2,50,35259,0.173,13.115,4.708,0.059,0.025,3124
2,50,36938,0.06,2.823,1.283,0.036,0.006,3441
2,50,38617,0.067,4.83,1.972,0.021,0.023,4669
2,50,40296,0.062,4.507,2.1,0.033,0.012,4170
2,50,41975,0.181,15.053,5.627,0.063,0.044,4766
2,50,43654,0.205,17.067,6.565,0.092,0.077,4372
2,50,45333,0.146,7.036,2.66,0.036,0.045,4728
2,50,47012,0.232,20.39,6.699,0.096,0.081,5075
2,50,48691,0.157,12.788,5.126,0.073,0.044,6018
3,10,0,0.232,21.318,9.543,0.158,0.055,2316
3,10,1679,0.19,12.178,5.364,0.107,0.046,2155
3,10,3358,0.151,16.704,7.122,0.087,0.054,2005
3,10,5037,0.257,14.58,6.974,0.168,0.051,1679
3,10,6716,0.256,57.512,14.602,0.189,0.07,1959
3,10,8395,0.192,41.25,13.063,0.14,0.072,1614
3,10,10074,0.225,29.757,9.994,0.146,0.052,2062
3,10,11753,0.21,25.616,12.122,0.138,0.061,2021
3,10,13432,0.282,156.651,19.1,0.197,0.065,1945
3,10,15111,0.174,40.302,12.374,0.127,0.031,1713
3,10,16790,0.189,31.35,10.384,0.126,0.027,1709
3,10,18469,0.29,153.375,20.285,0.211,0.045,1443
3,10,20148,0.06,81.93,7.017,0.034,0.024,1754
3,10,21827,0.208,207.211,16.639,0.13,0.082,1745
3,10,23506,0.143,62.435,12.667,0.114,0.04,2192
3,10,25185,0.172,182.895,10.248,0.101,0.041,1654
3,10,26864,0.451,63.271,18.381,0.348,0.038,2083
3,10,28543,0.589,101.924,16.626,0.318,0.053,1964
3,10,30222,0.182,19.263,7.399,0.104,0.021,1685
3,10,31901,1.389,1216.526,39.153,1.011,0.124,2481
3,10,33580,0.39,68.851,19.369,0.266,0.068,1475
3,10,35259,0.457,60.301,17.364,0.297,0.066,1612
3,10,36938,0.139,17.843,6.636,0.09,0.015,1252
3,10,38617,0.129,20.951,7.823,0.089,0.045,2190
3,10,40296,0.144,21.394,7.087,0.099,0.027,1666
3,10,41975,0.175,33.845,11.759,0.12,0.042,1912
3,10,43654,0.216,66.47,13.476,0.148,0.082,2036
3,10,45333,0.246,33.255,10.36,0.157,0.076,2055
3,10,47012,0.198,34.033,11.089,0.136,0.069,1983
3,10,48691,0.3,44.425,14.729,0.219,0.085,2395
3,20,0,0.116,6.596,2.511,0.041,0.028,6867
3,20,1679,0.108,3.741,1.54,0.032,0.026,6377
3,20,3358,0.108,7.451,2.693,0.035,0.039,5991
3,20,5037,0.18,7.676,3.519,0.077,0.036,5593
3,20,6716,0.164,19.886,6.098,0.088,0.045,5848
3,20,8395,0.145,17.393,6.442,0.07,0.054,4945
3,20,10074,0.088,3.58,1.476,0.024,0.02,5902
3,20,11753,0.073,4.633,2.157,0.03,0.021,5706
3,20,13432,0.145,19.733,6.305,0.063,0.033,6914
3,20,15111,0.05,6.709,3.034,0.036,0.009,5092
3,20,16790,0.097,10.47,3.899,0.04,0.014,5090
3,20,18469,0.093,26.245,5.885,0.044,0.014,4340
3,20,20148,0.014,2.291,0.9,0.004,0.006,5037
3,20,21827,0.103,27.555,6.131,0.041,0.041,5646
3,20,23506,0.052,13.695,5.294,0.023,0.015,6422
3,20,25185,0.042,6.401,2.449,0.02,0.01,5248
3,20,26864,0.552,35.054,7.369,0.177,0.046,6028
3,20,28543,0.272,36.113,5.953,0.094,0.024,4976
3,20,30222,0.105,6.693,2.287,0.029,0.012,5103
3,20,31901,0.541,111.861,11.596,0.201,0.048,6716
3,20,33580,0.239,19.947,5.85,0.077,0.041,4000
3,20,35259,0.087,8.152,3.561,0.04,0.013,4931
3,20,36938,0.075,3.162,1.544,0.037,0.008,3514
3,20,38617,0.039,3.655,1.625,0.014,0.014,5812
3,20,40296,0.087,7.159,3.093,0.046,0.016,4538
3,20,41975,0.159,17.961,5.386,0.058,0.038,5525
3,20,43654,0.154,9.93,4.205,0.059,0.058,5316
3,20,45333,0.094,8.146,3.46,0.042,0.029,5528
3,20,47012,0.115,9.419,3.351,0.044,0.04,5971
3,20,48691,0.188,13.835,5.506,0.088,0.053,7589
3,30,0,0.071,3.328,1.323,0.019,0.017,10740
3,30,1679,0.067,1.591,0.642,0.013,0.016,9977
3,30,3358,0.048,1.718,0.672,0.008,0.017,9593
3,30,5037,0.096,2.455,1.046,0.022,0.019,9363
3,30,6716,0.084,7.353,2.605,0.033,0.023,9094
3,30,8395,0.124,12.601,4.381,0.046,0.047,8001
3,30,10074,0.036,0.655,0.305,0.005,0.008,9214
3,30,11753,0.033,1.455,0.701,0.009,0.01,8458
3,30,13432,0.152,8.284,2.646,0.038,0.035,10986
3,30,15111,0.018,1.783,0.861,0.019,0.003,7910
3,30,16790,0.048,3.306,1.383,0.014,0.007,7209
3,30,18469,0.094,12.749,2.923,0.023,0.014,6754
3,30,20148,0.007,1.023,0.387,0.001,0.003,7997
3,30,21827,0.039,6.438,2.781,0.016,0.015,9207
3,30,23506,0.042,2.099,0.921,0.009,0.012,9170
3,30,25185,0.018,1.715,0.879,0.006,0.004,7985
3,30,26864,0.632,20.301,2.8,0.092,0.053,8960
3,30,28543,0.298,10.392,3.025,0.054,0.027,7649
3,30,30222,0.078,4.215,1.306,0.017,0.009,7634
3,30,31901,0.348,25.95,4.12,0.076,0.031,9676
3,30,33580,0.139,7.94,2.574,0.033,0.024,6224
3,30,35259,0.058,3.386,1.437,0.015,0.008,7900
3,30,36938,0.048,1.575,0.729,0.028,0.005,5781
3,30,38617,0.015,1.012,0.493,0.005,0.005,8308
3,30,40296,0.021,1.21,0.602,0.017,0.004,7021
3,30,41975,0.065,6.512,2.545,0.023,0.016,8251
3,30,43654,0.105,4.502,1.859,0.026,0.04,7789
3,30,45333,0.035,1.939,0.878,0.011,0.011,8440
3,30,47012,0.125,4.546,1.345,0.022,0.044,9131
3,30,48691,0.113,6.55,2.177,0.033,0.032,11953
3,40,0,0.046,1.467,0.585,0.008,0.011,13230
3,40,1679,0.064,1.173,0.391,0.008,0.015,12741
3,40,3358,0.026,0.532,0.209,0.003,0.009,12289
3,40,5037,0.045,0.946,0.478,0.009,0.009,12246
3,40,6716,0.041,3.059,1.149,0.012,0.011,11694
3,40,8395,0.124,8.235,2.894,0.033,0.046,10699
3,40,10074,0.008,0.156,0.079,0.001,0.002,11348
3,40,11753,0.029,0.59,0.306,0.004,0.008,10604
3,40,13432,0.128,5.66,1.579,0.022,0.029,13638
3,40,15111,0.02,1.525,0.672,0.017,0.003,9712
3,40,16790,0.046,2.46,0.979,0.01,0.007,9365
3,40,18469,0.062,7.292,1.142,0.008,0.009,8235
3,40,20148,0.006,0.631,0.241,0.001,0.002,9851
3,40,21827,0.024,3.486,1.45,0.008,0.009,11560
3,40,23506,0.021,1.176,0.516,0.004,0.006,10690
3,40,25185,0.009,0.615,0.302,0.002,0.002,10030
3,40,26864,0.136,4.356,1.226,0.045,0.011,10823
3,40,28543,0.06,2.269,0.819,0.011,0.005,9514
3,40,30222,0.212,6.544,1.296,0.029,0.024,8982
3,40,31901,0.14,6.057,1.706,0.025,0.012,12061
3,40,33580,0.065,3.596,1.402,0.015,0.011,7646
3,40,35259,0.045,1.825,0.785,0.009,0.007,9852
3,40,36938,0.012,0.411,0.202,0.022,0.001,7795
3,40,38617,0.011,0.519,0.238,0.002,0.004,10136
3,40,40296,0.032,0.83,0.441,0.016,0.006,8755
3,40,41975,0.029,2.262,0.914,0.007,0.007,10198
3,40,43654,0.061,2.335,1.105,0.014,0.023,9723
3,40,45333,0.021,0.993,0.443,0.005,0.006,10537
3,40,47012,0.057,2.893,0.823,0.01,0.02,11251
3,40,48691,0.066,2.546,0.971,0.014,0.019,14360
3,50,0,0.037,1.236,0.52,0.007,0.009,14981
3,50,1679,0.048,0.831,0.27,0.005,0.012,14724
3,50,3358,0.017,0.305,0.113,0.001,0.006,14417
3,50,5037,0.018,0.392,0.188,0.003,0.004,14089
3,50,6716,0.034,1.675,0.671,0.007,0.009,13673
3,50,8395,0.086,5.507,2.055,0.021,0.032,12676
3,50,10074,0.004,0.088,0.043,0.0,0.001,13167
3,50,11753,0.007,0.202,0.102,0.001,0.002,12027
3,50,13432,0.046,1.693,0.69,0.008,0.011,15339
3,50,15111,0.004,0.265,0.129,0.013,0.001,11255
3,50,16790,0.036,1.754,0.817,0.007,0.005,10593
3,50,18469,0.009,2.023,0.599,0.002,0.001,9933
3,50,20148,0.003,0.513,0.19,0.0,0.001,11504
3,50,21827,0.016,2.157,0.855,0.004,0.006,13062
3,50,23506,0.044,0.897,0.392,0.005,0.013,12222
3,50,25185,0.005,0.306,0.155,0.001,0.001,11376
3,50,26864,0.356,7.175,1.031,0.057,0.03,12147
3,50,28543,0.022,0.379,0.173,0.003,0.002,10923
3,50,30222,0.072,2.709,0.784,0.011,0.008,10179
3,50,31901,0.061,2.99,0.758,0.009,0.005,13391
3,50,33580,0.078,2.449,0.837,0.011,0.014,9115
3,50,35259,0.013,0.721,0.334,0.003,0.002,11241
3,50,36938,0.009,0.242,0.116,0.022,0.001,9405
